ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-01-01,23.500324,8.308995806864925,23.7853850517521,23.500324,23.500324,-7.331986189702816,-7.331986189702816,-7.331986189702816,-0.30328524799278933,-0.30328524799278933,-0.30328524799278933,-7.028700941710027,-7.028700941710027,-7.028700941710027,0.0,0.0,0.0,16.16833781029718
2015-01-02,23.504897948858446,10.914612723189059,26.068861778757988,23.504897948858446,23.504897948858446,-5.32649835005828,-5.32649835005828,-5.32649835005828,1.7503313120211315,1.7503313120211315,1.7503313120211315,-7.076829662079411,-7.076829662079411,-7.076829662079411,0.0,0.0,0.0,18.178399598800166
2015-01-03,23.509471897716896,11.860444087307837,28.341967391830245,23.509471897716896,23.509471897716896,-3.708681996612051,-3.708681996612051,-3.708681996612051,3.4283246998592,3.4283246998592,3.4283246998592,-7.137006696471251,-7.137006696471251,-7.137006696471251,0.0,0.0,0.0,19.800789901104846
2015-01-04,23.514045846575343,13.182991314717365,28.760526678257516,23.514045846575343,23.514045846575343,-2.701615499381858,-2.701615499381858,-2.701615499381858,4.5060040195438456,4.5060040195438456,4.5060040195438456,-7.207619518925704,-7.207619518925704,-7.207619518925704,0.0,0.0,0.0,20.812430347193484
2015-01-05,23.51861979543379,3.58436673442636,18.646909812921578,23.51861979543379,23.51861979543379,-12.541875875607165,-12.541875875607165,-12.541875875607165,-5.255168164750756,-5.255168164750756,-5.255168164750756,-7.286707710856408,-7.286707710856408,-7.286707710856408,0.0,0.0,0.0,10.976743919826625
2015-01-06,23.523193744292236,6.181052444201205,22.168521241948024,23.523193744292236,23.523193744292236,-9.384282642184655,-9.384282642184655,-9.384282642184655,-2.0122537273640635,-2.0122537273640635,-2.0122537273640635,-7.372028914820591,-7.372028914820591,-7.372028914820591,0.0,0.0,0.0,14.138911102107581
2015-01-07,23.527767693150683,6.055601568428701,21.887756954162704,23.527767693150683,23.527767693150683,-9.575083563744432,-9.575083563744432,-9.575083563744432,-2.113952891329207,-2.113952891329207,-2.113952891329207,-7.461130672415225,-7.461130672415225,-7.461130672415225,0.0,0.0,0.0,13.95268412940625
2015-01-08,23.53234164200913,7.350445259886014,23.25940330774349,23.53234164200913,23.53234164200913,-7.8547113493045675,-7.8547113493045675,-7.8547113493045675,-0.3032852479960524,-0.3032852479960524,-0.3032852479960524,-7.5514261013085155,-7.5514261013085155,-7.5514261013085155,0.0,0.0,0.0,15.677630292704562
2015-01-09,23.53691559086758,9.696884038171834,25.675705342125042,23.53691559086758,23.53691559086758,-5.889939988417898,-5.889939988417898,-5.889939988417898,1.7503313120130943,1.7503313120130943,1.7503313120130943,-7.640271300430992,-7.640271300430992,-7.640271300430992,0.0,0.0,0.0,17.646975602449682
2015-01-10,23.541489539726026,11.184662401543363,27.537424961070062,23.541489539726026,23.541489539726026,-4.296717664044777,-4.296717664044777,-4.296717664044777,3.428324699868794,3.428324699868794,3.428324699868794,-7.7250423639135715,-7.7250423639135715,-7.7250423639135715,0.0,0.0,0.0,19.24477187568125
2015-01-11,23.546063488584473,12.789683263985458,27.856279919233465,23.546063488584473,23.546063488584473,-3.2972059134525886,-3.2972059134525886,-3.2972059134525886,4.506004019540906,4.506004019540906,4.506004019540906,-7.803209932993495,-7.803209932993495,-7.803209932993495,0.0,0.0,0.0,20.248857575131883
2015-01-12,23.550637437442923,2.2771971327204237,18.272536923344056,23.550637437442923,23.550637437442923,-13.127577483534015,-13.127577483534015,-13.127577483534015,-5.255168164746231,-5.255168164746231,-5.255168164746231,-7.872409318787783,-7.872409318787783,-7.872409318787783,0.0,0.0,0.0,10.423059953908908
2015-01-13,23.55521138630137,5.895733456552691,21.463739114398894,23.55521138630137,23.55521138630137,-9.942758111383256,-9.942758111383256,-9.942758111383256,-2.0122537273638343,-2.0122537273638343,-2.0122537273638343,-7.930504384019421,-7.930504384019421,-7.930504384019421,0.0,0.0,0.0,13.612453274918114
